Date_Price;AAVEUSDT;ACMUSDT;ADAUSDT;ADXUSDT;AGLDUSDT;ALGOUSDT;ALICEUSDT;ALPACAUSDT;ALPHAUSDT;AMPUSDT;ANKRUSDT;ANTUSDT;ARDRUSDT;ARPAUSDT;ARUSDT;ASRUSDT;ATAUSDT;ATOMUSDT;AUCTIONUSDT;AUDIOUSDT;AVAXUSDT;AXSUSDT;BADGERUSDT;BALUSDT;BANDUSDT;BARUSDT;BATUSDT;BCHUSDT;BEAMUSDT;BELUSDT;BETAUSDT;BICOUSDT;BLZUSDT;BNBUPUSDT;BNBUSDT;BNTUSDT
01/01/2022;266,4;5,211;1,38;0,5729;1,705;1,7414;13,38;0,6264;0,6995;0,04964;0,10329;13,079;0,2294;0,09998;66,05;4,221;0,6607;36,36;24,57;1,65;114,13;94,1;15,82;18,73;5,183;8,94;1,256;444,8;0,5862;1,651;0,647;4,48;0,2208;543;527,3;3,345
02/01/2022;265,3;5,195;1,377;0,5799;1,828;1,6734;13,06;0,6085;0,6978;0,04897;0,11501;13,048;0,2741;0,10018;60,16;4,172;0,6783;35,53;24,46;1,647;113,03;96,38;15,42;19,63;5,28;8,85;1,2999;447,7;0,6011;1,667;0,68177;4,223;0,2258;552,62;531;3,396
03/01/2022;267,2;5,152;1,319;0,5798;1,718;1,7949;12,64;0,6186;0,7019;0,05239;0,11109;11,968;0,259;0,10028;59,83;4,152;0,6534;39,25;24,67;1,616;108,11;94,39;15,25;19,14;5,554;8,89;1,3017;434,7;0,5934;1,616;0,6345;3,892;0,2273;506,38;511,9;3,428
04/01/2022;252,1;5,107;1,309;0,5613;1,637;1,6725;13,65;0,6163;0,6981;0,04929;0,10986;11,041;0,2484;0,09915;62,75;4,112;0,6636;42,1;24,09;1,585;103,33;92,89;15,29;19,33;5,659;8,76;1,2825;427,1;0,5864;1,646;0,63164;3,92;0,2219;494,1;506,9;3,401
05/01/2022;230,3;4,727;1,23;0,5276;1,57;1,5554;12,23;0,566;0,6276;0,04682;0,10141;10,253;0,2292;0,09142;56,26;3,808;0,6149;38,66;22,86;1,457;97,42;80,22;14,08;17,54;6,243;8,19;1,1764;399,4;0,5339;1,465;0,57229;3,553;0,2064;411,33;474,1;3,297
06/01/2022;221;4,805;1,28;0,5223;1,644;1,5633;12,17;0,5598;0,6024;0,04607;0,1011;10,853;0,2293;0,0923;55,21;3,876;0,5895;40,08;22,55;1,458;95,11;79,02;13,33;17,71;5,836;8,21;1,1835;399,8;0,5256;1,42;0,54754;3,487;0,2048;407,17;472,6;3,238
07/01/2022;211,7;4,597;1,21;0,4953;1,546;1,4458;11,32;0,5023;0,5514;0,04338;0,09445;9,307;0,212;0,08557;49,56;3,811;0,5549;38,58;20,95;1,383;86,74;73,62;12,31;17,73;5,274;8,18;1,0768;385,7;0,497;1,306;0,4789;3,618;0,1872;348,62;448,1;3,117
08/01/2022;212,3;4,613;1,181;0,4875;1,45;1,385;10,84;0,492;0,5223;0,04356;0,09112;8,077;0,206;0,08124;47,63;3,657;0,5299;35,87;21,02;1,329;83,9;70,33;12,31;17,84;4,931;7,85;1,021;372,9;0,4691;1,23;0,45816;3,523;0,185;299,78;429,9;3,067
09/01/2022;209,5;4,617;1,17;0,4814;1,455;1,4004;11,01;0,4975;0,5454;0,04278;0,09214;8,214;0,2181;0,08325;50,38;3,77;0,5549;34,98;20,88;1,34;89,33;71,92;12,22;18,63;5,315;7,84;1,0339;376,8;0,4817;1,261;0,46921;3,66;0,1884;312,32;438,7;3,157
10/01/2022;199,9;4,513;1,123;0,4647;1,335;1,3623;10,19;0,4817;0,5118;0,042;0,08691;7,445;0,2276;0,07928;46,26;3,579;0,5284;37,86;20,09;1,293;84,36;68,38;11,84;17,29;5,032;7,57;0,9981;363,6;0,4525;1,188;0,4479;3,494;0,1744;291,51;424,7;3,133
11/01/2022;213,3;4,814;1,187;0,4826;1,352;1,446;10,86;0,4867;0,5409;0,04188;0,09137;8,3;0,2207;0,08247;48,27;3,818;0,5569;38,7;20,4;1,389;89,59;72,78;12,05;17,61;5,14;8;1,0567;369,8;0,4751;1,273;0,47644;3,563;0,1832;356,68;463,6;3,198
12/01/2022;218,5;5,032;1,312;0,4965;1,433;1,4991;11,51;0,5107;0,5944;0,04279;0,09727;9,439;0,226;0,08734;52,01;3,922;0,5801;40,22;20,94;1,489;95,94;78,21;12,69;17,92;5,633;8,19;1,1154;383,8;0,4912;1,363;0,50983;3,745;0,1956;391,93;487,8;3,277
13/01/2022;209,3;4,788;1,233;0,493;1,371;1,3615;10,66;0,4812;0,5631;0,04062;0,09204;8,486;0,2289;0,08271;49,49;3,783;0,5419;37,6;19,8;1,39;89,65;73,06;12,11;17,26;5,855;7,92;1,0383;377,5;0,4607;1,301;0,45906;3,708;0,1855;376,35;475,2;3,128
14/01/2022;223,9;4,867;1,292;0,4967;1,381;1,3817;10,82;0,4981;0,5623;0,04113;0,09348;8,417;0,23;0,08631;50,29;3,845;0,5588;40,42;20,28;1,434;90,39;73,67;12,54;17,28;5,704;7,91;1,0562;385,6;0,47;1,308;0,46892;3,621;0,1843;396,34;490;3,192
15/01/2022;238,4;4,944;1,291;0,5029;1,388;1,3785;11,14;0,4883;0,5865;0,04143;0,0929;8,227;0,2306;0,08673;49,75;3,846;0,5664;39,12;20,59;1,437;92,98;75,37;12,6;17,55;5,693;8,02;1,0626;390,6;0,4717;1,324;0,47221;3,54;0,1861;408,79;494,5;3,189
16/01/2022;242,5;4,928;1,41;0,4936;1,384;1,429;11,3;0,5053;0,576;0,0412;0,09256;8,065;0,2328;0,08571;49,35;3,89;0,5751;43,65;20,69;1,454;92,24;80,26;14,4;17,36;5,68;7,97;1,0565;388,1;0,4677;1,346;0,46823;3,817;0,1853;417,56;498,6;3,194
17/01/2022;226,6;4,984;1,603;0,4715;1,35;1,3413;10,51;0,4819;0,5447;0,04013;0,0889;7,448;0,2227;0,08243;47,53;3,798;0,5356;39,13;19,42;1,328;86,67;76,46;13,13;16,04;5,299;7,77;1,0141;380,6;0,4488;1,246;0,48101;3,532;0,1767;377,36;475,2;3,065
18/01/2022;232,4;4,936;1,458;0,4702;1,281;1,3169;10,3;0,4573;0,5394;0,03882;0,08831;7,351;0,2179;0,08088;44,4;3,727;0,5325;38,24;19,55;1,311;86;73,81;14,62;15,9;5,056;7,79;1,0052;381,4;0,4431;1,273;0,645;3,542;0,1792;367;471,4;3,009
19/01/2022;210,2;4,793;1,337;0,4608;1,165;1,2655;10,09;0,4494;0,5168;0,03716;0,08457;6,632;0,2125;0,07738;42,02;3,627;0,5194;37,02;19,04;1,255;82,61;71,81;15,95;15,36;4,904;7,67;0,9546;368,9;0,4388;1,222;0,57121;3,336;0,1686;353,94;461,9;2,91
